id,field_name,questionnaire_no,rule_type,rule_added,prevents,source_or_judgement
C015,c_height_cm,4.06,sentinel split + range,"Split into height_status + c_height_cm numeric 45.0-130.0, only relevant if status=measured",Same collision as weight: paper's '99 = not measured' inside a 3-digit continuous cm field,"Range is my judgement, padded around WHO length/height-for-age for 9-59 months"
C016,measles_status,4.08-4.10,sentinel/source separation,"measles_status combines card-confirmed and recall answers into one analysis field, but the raw vacc_card_seen/measles_from_card/measles_recall fields are kept, not overwritten","Analysts silently losing the card-confirmed-vs-recall distinction, which Q4 of this same assessment explicitly requires reporting on for coverage","My judgement, informed by the Q4 requirement to report coverage 'by documented source, distinguishing card confirmed from caregiver recall'"
C017,antibiotic_code,4.13,"data-pack gap, placeholder + escalation","select_one backed by an internal XLSForm choices list (medicine_list, 14 rows), an illustrative WHO-AWaRe-informed list of 13 common oral/injectable antibiotics + Other(96), every label prefixed [PLACEHOLDER]",A blocked or fabricated-looking field where the real ministry-approved antimicrobial code list should be,"ESCALATED, not resolved: the questionnaire refers to 'the medicine list' but reference_media/ contains no such file. This is a data-pack gap, not something I can responsibly invent an authoritative version of. The placeholder must be replaced by the ministry/AMR technical working group's actual formulary code list before deployment."
C018,antibiotic_photo_file appearance,4.16,appearance: new,'new' forces the camera to open for a fresh capture; the device's photo gallery is not offered as a source,"An enumerator attaching an old or unrelated photo from the gallery instead of actually photographing this packaging, which would defeat the evidence purpose of the field entirely",My judgement
C019,antibiotic_photo_file,4.16,added evidence field,image capture attached whenever antibiotic_photo=1 (photo taken),"The paper form records only whether a photo was taken, not the photo itself, so the office has no way to verify the antibiotic_code entry against the packaging -- an AMR-survey-specific back-office QA gap",My judgement
C020,specimen section relevance,5.01,"computed relevance, question removed",Section only shown when age_months>=12 (already on file); no separate 5.01 question is asked,"5.01 restates a fact already captured at 4.03/age_months two questions earlier; asking it again lets an enumerator answer 'yes, >=12 months' for a child whose age_months says 10, an internal contradiction the paper form has no mechanism to prevent","My judgement -- resolved in form, disclosed in defects report D-04, not silently dropped"
C021,specimen_label,5.03,format + range + check-digit + within-submission dedup,"regex ^BSN[0-9]{6}-[0-9X]$; 6-digit body inside the enumerator's own team range (pulldata from specimen_label_allocation.csv); check character recomputed via modulus-11, weights 2-7 right to left, and compared to the entered character; must not repeat within this same household's roster (count of matching labels across all roster/specimen/specimen_label nodes in this submission <= 1)","Mistyped labels, a label affixed and typed from outside the team's allocated block (allocation confirmed contiguous, no gaps/overlaps across 24 teams x 900 labels each, 480000-501599), transposed-digit-pair errors the check digit is specifically designed to catch, and the same physical label being typed twice for two different children in the same household","specimen_label_allocation.csv (24 rows) for the range; check-digit scheme text in that same file ('Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X'). See documentation/04_specimen_label_validation.md for worked test vectors, and documentation/05_duplicate_label_detection.md for why a same-submission check only catches labels reused within one household and not the full 9-day device history."
C022,specimen_label appearance (bug fix),5.03,appearance removed,"An earlier build set appearance='numbers' on this field, which restricts the on-screen keyboard to digits only. This field's own format is BSN######-C -- letters and an occasional 'X' check character -- so a numeric-only keypad would have made a correctly formatted label untypeable. No appearance is set now; the default keyboard accepts the full alphanumeric format.",A numeric keypad blocking entry of a field whose own required format includes letters,"Caught on review while adding appearances for this update, not by a field test -- flagged here anyway since it is exactly the kind of thing device testing (documentation/11_scope_and_omissions.md, item 9) is meant to catch"
C023,specimen_temp_c,5.05,range,0.0-12.0 degrees C,"Miskeyed or unrealistic cold-chain temperatures (e.g. a stuck '99', or a positive-but-implausible double-digit reading)","My judgement -- WHO cold-chain guidance targets 2-8C for specimen transport; I padded to 0-12C to admit a plausible faulty-but-real thermometer reading rather than only the ideal range, while still rejecting clear entry errors"
C024,roster_count_actual / hh_size_stated,3.01 vs Section 3 roster,"cross-question consistency (soft, not blocking)","roster_count_actual = count(roster); roster_mismatch_flag=1 when it differs from hh_size_stated; enumerator sees an on-screen note and must actively continue past it, but the form is not blocked","A genuine mismatch between the pre-roster estimate (3.01) and the actual listed count is real, common (memory, definitional disputes about who is 'usually resident'), and analytically important -- it must reach the office for review, not be silently forced to agree or hard-blocked in the field",Q3 requirement 4: 'at minimum reconcile the stated household size against the roster'
C025,child-module count vs eligible count,3.02 vs Section 4 pages completed,structural (by construction),"Not a validation rule: the child module is nested inside each roster row and shown if and only if that row is age-eligible, so the count of completed child modules and the count of eligible roster rows are the same value by construction. 3.02 itself is no longer asked -- see D-01.",The paper's separate manual count (3.02) and separate manual line-number re-entry (4.01) were themselves the source of the mismatch risk this requirement exists to catch,Q3 requirement 4: 'the stated number of eligible children against the number of child modules completed'
C026,hh_assets,6.07,mutual exclusivity,selected('H') implies count-selected=1 (None of these excludes every other option),"A response set that includes both 'None of these' and a specific asset (e.g. mobile telephone), which is self-contradictory and breaks any asset-index construction downstream","The paper form is a 'select all that apply' multi-select with no stated exclusivity rule for its own 'None of these' category -- identified as defect D-09 (data that cannot be analysed as printed), resolved in form"
C027,duration_minutes,7.01,"added field, replaces manual entry","duration_minutes = (end - start) in minutes, computed from the system start/end metadata rather than the enumerator typing a clock time",The manually-typed 7.01 time can be edited/guessed by an enumerator wanting to disguise a short interview; the system timestamp cannot,Directly answers Q3 requirement 11 (fabrication detection) using the operating-conditions fraud case as the design driver
